Date,Open,High,Low,Close,Adj Close,Volume
2022-09-16,69.580002,69.800003,68.250000,68.830002,67.937675,23412000
2022-09-19,68.199997,69.129997,67.910004,69.070000,68.174561,8364000
2022-09-20,68.269997,68.459999,67.449997,68.110001,67.227013,8624300
2022-09-21,68.709999,68.879997,66.739998,66.750000,65.884644,6768200
2022-09-22,66.849998,66.940002,65.839996,66.029999,65.173973,7190700
2022-09-23,65.349998,65.440002,63.869999,64.550003,63.713169,9282500
2022-09-26,64.330002,64.919998,63.389999,63.450001,62.627422,6897800
2022-09-27,64.160004,64.400002,62.040001,62.419998,61.610775,9284800
2022-09-28,62.619999,63.349998,62.250000,63.070000,62.252350,8549900
2022-09-29,62.290001,62.599998,60.779999,61.400002,60.604000,8882100
2022-09-30,61.259998,62.139999,61.060001,61.070000,60.278278,9794400
2022-10-03,60.990002,63.240002,60.810001,63.080002,62.262222,9661400
2022-10-04,63.799999,65.830002,63.799999,65.690002,64.838387,9892600
2022-10-05,65.339996,67.190002,64.980003,66.639999,65.776070,9201600
2022-10-06,66.330002,66.809998,65.220001,65.300003,64.453445,6992000
2022-10-07,64.489998,64.620003,62.740002,63.290001,62.469498,7137900
2022-10-10,63.610001,63.900002,62.020000,62.570000,61.758831,6407200
2022-10-11,61.849998,63.099998,61.650002,62.410000,61.917568,7376900
2022-10-12,62.619999,64.279999,62.169998,63.779999,63.276756,9008600
2022-10-13,62.480000,65.709999,62.270000,65.199997,64.685555,10147100
2022-10-14,65.720001,66.610001,64.209999,64.309998,63.802574,8044500
2022-10-17,65.879997,67.570000,65.870003,67.019997,66.491196,11368300
2022-10-18,68.000000,68.580002,66.330002,67.029999,66.501114,6688600
2022-10-19,66.489998,67.190002,65.779999,66.300003,65.776878,5506000
2022-10-20,67.529999,69.919998,67.190002,69.250000,68.703598,17600500
2022-10-21,71.029999,72.790001,70.309998,72.699997,72.126373,15652600
2022-10-24,72.930000,73.690002,71.779999,72.919998,72.344643,11489400
2022-10-25,73.449997,74.110001,72.610001,73.139999,72.562904,9137700
2022-10-26,72.610001,75.720001,72.550003,74.820000,74.229645,10693600
2022-10-27,74.750000,75.879997,74.550003,75.150002,74.557045,7053000
2022-10-28,75.300003,77.680000,75.300003,77.360001,76.749611,8758100
2022-10-31,76.500000,78.330002,76.400002,78.070000,77.454010,12349000
2022-11-01,78.599998,79.230003,76.339996,77.110001,76.501587,7753000
2022-11-02,76.650002,77.430000,75.010002,75.120003,74.527283,7524300
2022-11-03,74.720001,75.690002,74.050003,75.029999,74.437996,6761200
2022-11-04,75.940002,76.669998,74.239998,76.000000,75.400337,7219000
2022-11-07,76.110001,77.089996,75.489998,76.739998,76.134499,5394300
2022-11-08,76.949997,77.139999,75.019997,75.639999,75.043175,9104200
2022-11-09,75.379997,76.540001,75.000000,75.660004,75.063026,6013700
2022-11-10,77.699997,78.470001,76.709999,77.169998,76.561104,10437300
2022-11-11,77.129997,77.889999,76.570000,77.739998,77.126602,7712900
2022-11-14,77.480003,79.540001,77.330002,78.529999,77.910378,7153000
2022-11-15,78.930000,80.680000,78.010002,79.180000,78.555244,7618500
2022-11-16,79.120003,80.230003,78.860001,79.889999,79.259644,6011900
2022-11-17,79.169998,79.580002,78.190002,79.199997,78.575089,5717300
2022-11-18,80.000000,80.459999,78.849998,79.730003,79.100914,6107000
2022-11-21,79.570000,80.099998,78.900002,79.820000,79.190201,5235400
2022-11-22,79.889999,82.209999,79.830002,82.120003,81.472054,8796200
2022-11-23,82.120003,82.919998,81.779999,82.559998,81.908577,6347900
